train/reward,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/std,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate
2.7534642,123,927,114688,56,0.20212244987487793,0.2,0.0018360328249400482,0.028836388,55.562198638916016,1.0992419719696045,0.294921875,550,100.23927009105682,-43.833589577674864,0.00025
-0.7811658,123,944,116736,57,0.3230965733528137,0.2,-0.0065448328212369235,0.0167926,150.56866455078125,1.1002057790756226,0.17802734375,560,273.75646500587465,-43.89545736312866,0.00025
0.49232832,123,960,118784,58,0.4801531434059143,0.2,-0.009536584635498002,0.020896845,105.05406951904297,1.1021381616592407,0.22275390625,570,268.8030452251434,-43.924327278137206,0.00025
-1.2001548,123,976,120832,59,0.44672590494155884,0.2,-0.00715497731580399,0.029780103,84.43207550048828,1.102088451385498,0.1541015625,580,213.8721257686615,-43.95622341632843,0.00025
0.76234597,123,992,122880,60,0.7787573486566544,0.2,-0.0062426907854387535,0.029841159,10.608429908752441,1.104170799255371,0.1744140625,590,22.558676475286482,-43.96957507133484,0.00025
0.64578724,123,1008,124928,61,0.4621821641921997,0.2,-0.007876921066781506,0.011857234,93.40177154541016,1.1050630807876587,0.09599609375,600,212.8599942445755,-44.01645336151123,0.00025
4.3886113,123,1024,126976,62,0.402587354183197,0.2,-0.009200275974581017,0.017348705,125.43600463867188,1.1071680784225464,0.193408203125,610,294.44807825088503,-44.061767315864564,0.00025
4.739255,123,1040,129024,63,0.5256077349185944,0.2,0.007279132661642507,0.05761365,26.16627311706543,1.1071377992630005,0.261328125,620,60.66209546327591,-44.08504145145416,0.00025
-0.40438005,124,1057,131072,64,0.49874669313430786,0.2,-0.010569008541642689,0.025535967,128.142822265625,1.1079696416854858,0.21552734375,630,203.71391298770905,-44.09102330207825,0.00025
-1.0109283,124,1072,133120,65,0.568002849817276,0.2,-0.00207431779417675,0.040658336,149.69447326660156,1.1117075681686401,0.2873046875,640,308.1514585494995,-44.14980745315552,0.00025
